日付,場所,説明,元の金額,修正案の金額,差額,税率,根拠,確度,メモ
2026-04-25,PASIO高城店,惣菜テナント料,2200,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-04-29,イオンモール,おやつカルパスBOX,378,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-04-29,イオンモール,超大粒ラムネ,198,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-04-29,イオンモール,キュービィロップ,158,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-04-29,イオンモール,鶏がらスープの素 10コ×単298,2980,3218,238,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-04-29,イオンモール,味塩こしょう荒挽き黒こ 10コ×単128,1280,1382,102,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-05,ながやま 三股店,ニューイージーバッグバイオ25L半透,370,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-05,ながやま 三股店,一番搾りキャノーラサラダ油,5150,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-05,ながやま 三股店,スターパック 中深 100枚（小おり）×4,1920,2112,192,10%,b,ほぼ確実,消耗品費なので10%
2026-05-05,ながやま 三股店,スターパック 大深 100枚（大おり）×2,1040,1144,104,10%,b,ほぼ確実,消耗品費なので10%
2026-05-05,ながやま 三股店,BESTクッキングペーパー中 2R ×2,1050,1155,105,10%,b,ほぼ確実,消耗品費なので10%
2026-05-05,ながやま 三股店,布テープ 50mmx25m,250,275,25,10%,b,ほぼ確実,消耗品費なので10%
2026-05-05,ながやま 三股店,火乃国 片栗粉 北海 1kg×4,1592,1719,127,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-05,ながやま 三股店,フライドポテト シューストリングカット,298,322,24,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-05,ながやま 三股店,マックイン シューストリング6.3mm 1kg,280,302,22,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-07,ながやま 三股店,タイトロック 長角LL,428,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-07,ながやま 三股店,ユニックス タイトロック 2コ,1196,1316,120,10%,b,ほぼ確実,消耗品費なので10%
2026-05-07,ながやま 三股店,ユニックス 0-80AGナ 2コ,1596,1756,160,10%,b,ほぼ確実,消耗品費なので10%
2026-05-07,ながやま 三股店,キッチンボックス NF-4,1498,1648,150,10%,b,ほぼ確実,消耗品費なので10%
2026-05-12,ながやま 都北店,80gオールシーズンチョコ,298,322,24,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-17,都城イベント（栄町公園）,スターパック 大深 100枚×2,1040,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-17,都城イベント（栄町公園）,スターパック 中深 100枚×3,1440,1584,144,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,商売繁盛 袋入りスプーン100,420,462,42,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,火乃国 片栗粉 北海 1kg×4,1592,1719,127,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-17,都城イベント（栄町公園）,キッチンスタラップ 45x50m×2,800,880,80,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,ニューイージーバッグバイオ25L半透,370,407,37,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,BESTクッキングペーパー中 2R×2,1050,1155,105,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,キャベツ,178,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-17,都城イベント（栄町公園）,牛豚合挽きミンチ(5:5),666,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-17,都城イベント（栄町公園）,牛豚合挽きミンチ(5:5),661,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-17,都城イベント（栄町公園）,牛豚合挽きミンチ(5:5),660,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-17,都城イベント（栄町公園）,牛豚合挽きミンチ(5:5),663,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-17,都城イベント（栄町公園）,国産豚ミンチ,419,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-17,都城イベント（栄町公園）,バイオマスポリ手袋 ブルー S 100枚,330,363,33,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,花王 チェリーナ 4.5L,1680,1848,168,10%,b,ほぼ確実,消耗品費なので10%
2026-05-17,都城イベント（栄町公園）,ニラ×3,294,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,ダブルクリップ 挟口51×2,200,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-22,ながやま 志比田店,ストックバッグ（チャック）,100,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,ポップホルダークリップ式×2,200,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,安全ピン,100,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,ラミネートフィルム（A4）×3,300,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,買物袋Mサイズ,5,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-22,ながやま 志比田店,延長コード,1950,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,スピードベジタブルチョ,1098,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-24,パシオ 鷹尾,ユニックス 0-80AGナ（2コ×単798）,1596,1756,160,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,料理酒,248,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,醤油,198,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,ギャバンコショー缶,548,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,透明ゴミ袋_45L厚手,188,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-24,パシオ 鷹尾,おやつカルパスBOX,378,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
